I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
136, 68, -68, -102, 102, 0, -87, 48, 0, 29, 48, 48, 
126, 68, -58, -97, 92, 4, -87, 43, 0, 29, 48, 48, 
117, 68, -48, -92, 82, 9, -87, 39, 0, 29, 48, 48, 
112, 73, -39, -92, 75, 17, -82, 34, 0, 24, 48, 48, 
107, 78, -29, -92, 68, 24, -78, 29, 0, 19, 48, 48, 
97, 78, -19, -87, 58, 29, -78, 19, 0, 14, 39, 43, 
87, 78, -9, -82, 48, 34, -78, 9, 0, 9, 29, 39, 
68, 68, 0, -68, 34, 34, -78, 4, 0, 4, 29, 34, 
48, 58, 9, -53, 19, 34, -78, 0, 0, 0, 29, 29, 
43, 58, 14, -51, 14, 36, -68, 0, 0, 0, 29, 29, 
39, 58, 19, -48, 9, 39, -58, 0, 0, 0, 29, 29, 
34, 58, 24, -46, 4, 41, -58, -4, 0, -4, 29, 29, 
29, 58, 29, -43, 0, 43, -58, -9, 0, -9, 29, 29, 
19, 58, 39, -39, -9, 48, -58, -9, 0, -9, 24, 24, 
9, 58, 48, -34, -19, 53, -58, -9, 0, -9, 19, 19, 
9, 58, 48, -34, -19, 53, -58, -9, 4, -9, 19, 19, 
9, 58, 48, -34, -19, 53, -58, -9, 9, -9, 19, 19, 
4, 53, 48, -29, -21, 51, -53, -9, 9, -9, 19, 14, 
0, 48, 48, -24, -24, 48, -48, -9, 9, -9, 19, 9, 
0, 43, 43, -21, -21, 43, -48, -9, 9, -9, 9, 4, 
0, 39, 39, -19, -19, 39, -48, -9, 9, -9, 0, 0, 
-9, 34, 43, -12, -26, 39, -48, -9, 9, -14, 0, 0, 
-19, 29, 48, -4, -34, 39, -48, -9, 9, -19, 0, 0, 
-19, 29, 48, -4, -34, 39, -48, -9, 9, -19, 0, 0, 
-19, 29, 48, -4, -34, 39, -48, -9, 9, -19, 0, 0, 
-14, 29, 43, -7, -29, 36, -43, -9, 9, -14, 4, 0, 
-9, 29, 39, -9, -24, 34, -39, -9, 9, -9, 9, 0, 
-9, 29, 39, -9, -24, 34, -39, -9, 9, -9, 9, 0, 
-9, 29, 39, -9, -24, 34, -39, -9, 9, -9, 9, 0, 
-14, 29, 43, -7, -29, 36, -39, -9, 9, -9, 9, 0, 
-19, 29, 48, -4, -34, 39, -39, -9, 9, -9, 9, 0, 
-24, 19, 43, 2, -34, 31, -34, -9, 9, -9, 4, 0, 
-29, 9, 39, 9, -34, 24, -29, -9, 9, -9, 0, 0, 
-29, 9, 39, 9, -34, 24, -29, -9, 9, -9, 0, 0, 
-29, 9, 39, 9, -34, 24, -29, -9, 9, -9, 0, 0, 
-19, 14, 34, 2, -26, 24, -29, -4, 9, -9, 4, 0, 
-9, 19, 29, -4, -19, 24, -29, 0, 9, -9, 9, 0, 
-9, 24, 34, -7, -21, 29, -29, 0, 9, -9, 9, 4, 
-9, 29, 39, -9, -24, 34, -29, 0, 9, -9, 9, 9, 
-9, 29, 39, -9, -24, 34, -34, -4, 9, -9, 9, 9, 
-9, 29, 39, -9, -24, 34, -39, -9, 9, -9, 9, 9, 
-9, 24, 34, -7, -21, 29, -39, -9, 9, -9, 9, 9, 
-9, 19, 29, -4, -19, 24, -39, -9, 9, -9, 9, 9, 
-9, 19, 29, -4, -19, 24, -34, -9, 9, -4, 14, 9, 
-9, 19, 29, -4, -19, 24, -29, -9, 9, 0, 19, 9, 
-4, 19, 24, -7, -14, 21, -29, -9, 9, 0, 19, 9, 
0, 19, 19, -9, -9, 19, -29, -9, 9, 0, 19, 9, 
0, 19, 19, -9, -9, 19, -34, -14, 4, -4, 19, 9, 
0, 19, 19, -9, -9, 19, -39, -19, 0, -9, 19, 9, 
0, 19, 19, -9, -9, 19, -39, -24, -4, -9, 14, 9, 
0, 19, 19, -9, -9, 19, -39, -29, -9, -9, 9, 9, 
4, 14, 9, -9, -2, 12, -39, -29, -9, -9, 9, 9, 
9, 9, 0, -9, 4, 4, -39, -29, -9, -9, 9, 9, 
9, 9, 0, -9, 4, 4, -39, -29, -9, -9, 9, 9, 
9, 9, 0, -9, 4, 4, -39, -29, -9, -9, 9, 9, 
4, 4, 0, -4, 2, 2, -39, -34, -14, -14, 9, 9, 
0, 0, 0, 0, 0, 0, -39, -39, -19, -19, 9, 9, 
0, -4, -4, 2, 2, -4, -39, -43, -19, -19, 9, 9, 
0, -9, -9, 4, 4, -9, -39, -48, -19, -19, 9, 9, 
-4, -14, -9, 9, 2, -12, -39, -48, -24, -19, 4, 9, 
-9, -19, -9, 14, 0, -14, -39, -48, -29, -19, 0, 9, 
-14, -24, -9, 19, -2, -17, -39, -48, -29, -24, 0, 4, 
-19, -29, -9, 24, -4, -19, -39, -48, -29, -29, 0, 0, 
-19, -34, -14, 26, -2, -24, -34, -48, -34, -29, -4, -4, 
-19, -39, -19, 29, 0, -29, -29, -48, -39, -29, -9, -9, 
-19, -39, -19, 29, 0, -29, -24, -53, -39, -34, -9, -9, 
-19, -39, -19, 29, 0, -29, -19, -58, -39, -39, -9, -9, 
-19, -43, -24, 31, 2, -34, -19, -58, -39, -39, -9, -4, 
-19, -48, -29, 34, 4, -39, -19, -58, -39, -39, -9, 0, 
-24, -48, -24, 36, 0, -36, -19, -58, -43, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -19, -58, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -14, -58, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -9, -58, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -9, -58, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -9, -58, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -14, -63, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -19, -68, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -19, -68, -48, -39, -9, 0, 
-29, -48, -19, 39, -4, -34, -19, -68, -48, -39, -9, 0, 
-34, -48, -14, 41, -9, -31, -14, -63, -48, -39, -9, 0, 
-39, -48, -9, 43, -14, -29, -9, -58, -48, -39, -9, 0, 
-39, -53, -14, 46, -12, -34, -9, -58, -48, -39, -9, -4, 
-39, -58, -19, 48, -9, -39, -9, -58, -48, -39, -9, -9, 
-39, -58, -19, 48, -9, -39, -14, -63, -48, -43, -14, -9, 
-39, -58, -19, 48, -9, -39, -19, -68, -48, -48, -19, -9, 
-39, -58, -19, 48, -9, -39, -19, -68, -48, -48, -19, -9, 
-39, -58, -19, 48, -9, -39, -19, -68, -48, -48, -19, -9, 
-39, -58, -19, 48, -9, -39, -19, -68, -48, -43, -14, -9, 
-39, -58, -19, 48, -9, -39, -19, -68, -48, -39, -9, -9, 
-39, -53, -14, 46, -12, -34, -19, -68, -48, -39, -9, -4, 
-39, -48, -9, 43, -14, -29, -19, -68, -48, -39, -9, 0, 
-39, -48, -9, 43, -14, -29, -14, -63, -43, -39, -9, 0, 
-39, -48, -9, 43, -14, -29, -9, -58, -39, -39, -9, 0, 
-39, -48, -9, 43, -14, -29, -9, -58, -39, -39, -9, 0, 
-39, -48, -9, 43, -14, -29, -9, -58, -39, -39, -9, 0, 
-34, -43, -9, 39, -12, -26, -9, -58, -39, -39, -9, 0, 
-29, -39, -9, 34, -9, -24, -9, -58, -39, -39, -9, 0, 
-29, -39, -9, 34, -9, -24, -14, -58, -39, -34, -9, 0, 
-29, -39, -9, 34, -9, -24, -19, -58, -39, -29, -9, 0, 
-34, -39, -4, 36, -14, -21, -19, -58, -39, -29, -9, 0, 
-39, -39, 0, 39, -19, -19, -19, -58, -39, -29, -9, 0, 
-39, -39, 0, 39, -19, -19, -14, -58, -39, -29, -9, 0, 
-39, -39, 0, 39, -19, -19, -9, -58, -39, -29, -9, 0, 
