I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
19, -39, -58, 9, 39, -48, 48, -292, -1561, -351, -380, -29, 
24, -63, -87, 19, 56, -75, 58, -278, -1546, -361, -390, -43, 
29, -87, -117, 29, 73, -102, 68, -263, -1532, -370, -400, -58, 
34, -78, -112, 21, 73, -95, 53, -219, -1507, -370, -400, -58, 
39, -68, -107, 14, 73, -87, 39, -175, -1483, -370, -400, -58, 
53, -48, -102, -2, 78, -75, 19, -141, -1454, -361, -390, -53, 
68, -29, -97, -19, 82, -63, 0, -107, -1424, -351, -380, -48, 
73, -19, -92, -26, 82, -56, 0, -87, -1415, -346, -375, -43, 
78, -9, -87, -34, 82, -48, 0, -68, -1405, -341, -370, -39, 
78, -9, -87, -34, 82, -48, 0, -63, -1400, -341, -370, -39, 
78, -9, -87, -34, 82, -48, 0, -58, -1395, -341, -370, -39, 
73, -9, -82, -31, 78, -46, 0, -53, -1395, -346, -370, -39, 
68, -9, -78, -29, 73, -43, 0, -48, -1395, -351, -370, -39, 
63, -9, -73, -26, 68, -41, 0, -48, -1395, -356, -366, -39, 
58, -9, -68, -24, 63, -39, 0, -48, -1395, -361, -361, -39, 
53, -9, -63, -21, 58, -36, 0, -48, -1395, -361, -361, -34, 
48, -9, -58, -19, 53, -34, 0, -48, -1395, -361, -361, -29, 
43, -9, -53, -17, 48, -31, 0, -43, -1395, -366, -361, -29, 
39, -9, -48, -14, 43, -29, 0, -39, -1395, -370, -361, -29, 
34, -9, -43, -12, 39, -26, 0, -39, -1395, -375, -361, -29, 
29, -9, -39, -9, 34, -24, 0, -39, -1395, -380, -361, -29, 
24, -9, -34, -7, 29, -21, 0, -39, -1400, -385, -366, -29, 
19, -9, -29, -4, 24, -19, 0, -39, -1405, -390, -370, -29, 
14, -9, -24, -2, 19, -17, 0, -39, -1405, -395, -370, -24, 
9, -9, -19, 0, 14, -14, 0, -39, -1405, -400, -370, -19, 
4, -9, -14, 2, 9, -12, 4, -43, -1410, -405, -370, -19, 
0, -9, -9, 4, 4, -9, 9, -48, -1415, -409, -370, -19, 
-4, -9, -4, 7, 0, -7, 9, -48, -1420, -414, -370, -19, 
-9, -9, 0, 9, -4, -4, 9, -48, -1424, -419, -370, -19, 
-14, -14, 0, 14, -7, -7, 9, -53, -1434, -424, -370, -19, 
-19, -19, 0, 19, -9, -9, 9, -58, -1444, -429, -370, -19, 
-24, -19, 4, 21, -14, -7, 14, -63, -1454, -439, -375, -19, 
-29, -19, 9, 24, -19, -4, 19, -68, -1464, -448, -380, -19, 
-34, -24, 9, 29, -21, -7, 19, -73, -1478, -453, -380, -19, 
-39, -29, 9, 34, -24, -9, 19, -78, -1493, -458, -380, -19, 
-43, -34, 9, 39, -26, -12, 24, -87, -1512, -468, -385, -19, 
-48, -39, 9, 43, -29, -14, 29, -97, -1532, -478, -390, -19, 
